Date (Local),Time (Local),Node ID,Latitude,Longitude,Altitude,Mode,RTK Age,RTK Ratio,X Accel.,Y Accel.,Z Accel.,Voltage,MAP
"April 2, 2019",8:01:08 PM,0,44.5665967450,-123.2936093633,79.959,Float RTK,1,2.9,N/A,N/A,N/A,N/A,
"April 2, 2019",8:10:00 PM,0,44.5665953700,-123.2936092617,95.587,RTK,1,4.1,N/A,N/A,N/A,N/A,
"April 2, 2019",8:15:28 PM,0,44.5666118283,-123.2935782800,77.542,RTK,1,10,N/A,N/A,N/A,N/A,
"April 3, 2019",2:21:05 AM,0,44.5666401750,-123.2935820017,70.306,Float RTK,1,1.2,67,19,4061,3.36,
"April 3, 2019",2:24:55 AM,0,44.5666288233,-123.2935593100,75.554,Float RTK,1,1.2,N/A,N/A,N/A,N/A,
"April 3, 2019",8:32:25 AM,0,44.5666116067,-123.2935783050,77.583,RTK,1,10,70,19,4060,3.36,
"April 3, 2019",8:34:50 AM,0,44.5666116200,-123.2935783250,77.55,RTK,1,10,N/A,N/A,N/A,N/A,
"April 3, 2019",1:45:05 PM,0,44.5666125900,-123.2935570133,77.641,Float RTK,1,2.3,75,14,4061,3.36,
"April 3, 2019",1:46:50 PM,0,44.5666141350,-123.2935636517,77.348,Float RTK,1,2,76,15,4058,3.36,
"April 3, 2019",7:28:10 PM,0,44.5666119917,-123.2935673817,77.788,Float RTK,1,2.3,73,20,4061,3.36,
"April 3, 2019",10:29:35 PM,0,44.5666269600,-123.2935846433,82.258,Float RTK,1,2.9,73,26,4064,3.36,
"April 4, 2019",1:35:15 AM,0,44.5666415767,-123.2935846000,79.824,RTK,1,3.1,N/A,N/A,N/A,N/A,
"April 4, 2019",4:42:40 AM,0,44.5666116567,-123.2935782367,77.576,RTK,1,10,73,26,4063,3.36,
"April 4, 2019",4:43:50 AM,0,44.5666117150,-123.2935782433,77.561,RTK,1,10,74,26,4064,3.36,
"April 4, 2019",7:48:50 AM,0,44.5666117250,-123.2935783417,77.556,RTK,1,10,N/A,N/A,N/A,N/A,
"April 4, 2019",10:51:25 AM,0,44.5666133783,-123.2935440550,78.782,RTK,1,3.2,76,23,4062,3.360000 ,
